Gene ID	Gene Name	EBV-transformed lymphocyte	K-562 cell line	adrenal gland	amygdala	anterior cingulate cortex	aorta	atrium auricular region	blood	breast (mammary tissue)	caudate nucleus	cerebellar hemisphere	cerebellum	cerebral cortex	coronary artery	cortex of kidney	ectocervix	esophagogastric junction	esophagus mucosa	esophagus muscularis mucosa	fallopian tube	frontal cortex	heart left ventricle	hippocampal formation	hypothalamus	liver	lower leg skin	lung	minor salivary gland	nucleus accumbens	ovary	pancreas	pituitary gland	prostate gland	putamen	sigmoid colon	skeletal muscle tissue	spinal cord (cervical c-1)	spleen	stomach	subcutaneous adipose tissue	substantia nigra	suprapubic skin	terminal ileum of small intestine	testis	thyroid gland	tibial artery	tibial nerve	transformed fibroblast	transverse colon	urinary bladder	uterus	vagina	visceral (omentum) adipose tissue
ENSG00000082516	GEMIN5	9	12	4	3	3	4	3	0.9	5	3	4	4	3	4	2	5	4	3	4	5	3	3	2	3	2	5	4	4	3	5	2	4	4	3	4	5	2	4	3	7	3	4	3	6	4	4	6	7	3	5	5	4	4
ENSG00000082556	OPRK1				1	1					1	0.5	0.5	0.8								0.8			1					2					0.5																			
ENSG00000082641	NFE2L1	36	32	78	34	41	63	101	10	50	31	21	21	41	63	60	64	73	32	81	69	45	101	37	48	31	52	44	51	32	59	15	52	52	32	58	272	48	52	34	75	45	46	46	41	53	80	84	67	47	54	85	52	62
ENSG00000082684	SEMA5B				3	3		1			2			4	1	1					1	3	1	2	0.9					2			1		1							0.6				0.7		2				0.6	0.5	
ENSG00000082701	GSK3B	11	6	7	6	10	5	4	5	6	6	13	9	8	5	4	6	4	6	5	6	12	5	7	9	4	8	7	8	7	5	3	6	5	6	6	6	4	5	5	6	6	8	6	9	6	5	5	10	6	6	6	5	6
ENSG00000082781	ITGB5		7	12	5	4	103	19	2	31	7	3	4	4	80	19	34	23	20	20	13	4	14	5	5	14	43	23	21	6	11	6	9	22	7	19	6	7	19	10	47	7	32	10	7	17	54	22	40	13	14	31	32	37
ENSG00000082805	ERC1	0.8	1	5	3	3	6	4	0.6	4	5	11	11	3	6	3	5	6	5	7	6	3	3	3	4	2	5	4	4	5	4	1	5	4	4	6	2	3	2	3	5	3	4	3	4	5	8	6	6	3	8	5	4	4
ENSG00000082898	XPO1	32	50	11	9	9	11	7	4	13	9	16	16	9	12	7	12	10	11	9	16	9	6	8	10	6	10	13	10	10	16	8	13	10	8	10	8	9	13	9	10	8	10	12	20	12	11	17	21	10	12	15	12	10
ENSG00000082996	RNF13	8	4	13	17	15	15	9	24	18	18	11	11	12	14	10	14	13	9	13	12	15	6	19	21	10	14	20	20	15	11	8	8	12	16	13	8	49	17	12	19	35	13	10	10	16	14	29	12	11	15	13	14	18
ENSG00000083067	TRPM3				2	1					1	6	7	1		2						1		1	2					1	0.5		1		1			1				1			0.9			0.7						
ENSG00000083093	PALB2	5	5	2	1	2	1	1	0.5	3	2	3	3	2	2	2	2	2	3	2	2	2	0.8	1	2	1	3	2	2	2	2	1	2	2	1	2	1	1	2	2	3	1	3	3	4	2	2	3	4	2	3	3	3	2
ENSG00000083097	DOPEY1	5	1	3	3	5	4	3	0.6	5	4	11	13	6	4	3	5	4	3	4	5	5	2	4	5	2	6	4	5	4	6	3	9	5	3	4	3	3	3	3	3	3	6	5	7	6	4	5	2	4	5	5	5	3
ENSG00000083099	LYRM2	4	4	5	4	4	2	3	0.7	3	4	2	3	4	3	3	3	3	2	3	3	4	3	3	4	2	2	3	3	4	3	2	5	3	3	3	3	4	2	3	3	4	2	3	3	4	2	3	4	3	3	3	2	2
ENSG00000083123	BCKDHB	7	5	5	4	4	5	4	0.5	6	4	3	4	4	5	5	4	5	4	5	5	4	4	4	4	10	3	3	5	4	7	3	5	5	4	5	2	5	2	7	5	4	3	6	5	5	6	7	4	7	7	4	4	5
ENSG00000083168	KAT6A	7	7	3	3	3	5	3	8	7	4	8	7	3	5	3	8	5	5	5	7	3	2	3	3	2	8	8	5	3	7	2	4	5	3	5	4	4	6	4	7	3	8	6	5	6	6	7	6	4	7	7	6	6
ENSG00000083223	ZCCHC6	13	6	4	2	2	3	2	11	7	2	2	2	2	3	2	4	3	9	4	4	2	2	2	2	5	13	6	6	2	4	3	4	8	2	5	3	3	7	5	5	2	12	5	6	4	4	5	12	4	6	4	6	5
ENSG00000083290	ULK2	1		3	8	7	4	2	0.7	4	7	9	8	7	4	3	5	5	2	5	5	7	2	7	6	0.7	3	4	3	7	5	2	3	4	6	5	2	11	3	3	4	8	3	2	14	3	5	7	2	2	4	5	4	4
ENSG00000083307	GRHL2									5						1			12		0.8						13	2	8			4	0.7	11						5			13	1		5				4	3		6	
ENSG00000083312	TNPO1	14	23	9	4	4	8	6	4	9	5	6	6	4	9	4	8	7	6	7	8	4	4	5	6	4	5	8	9	4	8	6	11	8	4	8	7	6	6	7	10	5	5	7	9	11	9	8	23	7	10	9	8	8
ENSG00000083444	PLOD1	13	41	16	6	7	23	16	14	19	8	4	5	7	23	16	19	21	8	20	17	7	14	7	9	18	10	21	15	8	19	10	12	16	8	18	8	6	17	12	17	8	12	12	7	16	12	20	46	11	15	27	16	20
ENSG00000083454	P2RX5	7			1	2		0.7	4		2	1	2	2								2	1	1	1			0.7	0.5	2			0.6		2		2		36			0.6		4	0.6					0.8				
ENSG00000083457	ITGAE	2	1	3	2	2	1	1	1	2	3	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	3	2	3	2	1	2	3	3	2	1	2	4	2	2	2	1	4	3	2	1	2	2	2	2	2	3	2
ENSG00000083520	DIS3	11	8	3	2	2	4	2	1	5	2	5	6	3	4	2	5	3	5	4	5	2	2	2	3	2	4	4	4	3	5	2	4	4	2	4	2	2	4	3	5	2	4	4	7	5	4	6	7	3	5	4	4	4
ENSG00000083535	PIBF1	5	5	2	2	2	3	3	0.8	5	2	2	3	2	3	2	6	3	3	3	5	2	2	2	2	2	3	4	5	2	5	2	5	5	2	3	2	2	3	2	4	2	3	3	8	7	4	6	4	3	5	5	5	3
ENSG00000083544	TDRD3	3	2	2	2	2	2	3	0.6	3	2	2	3	2	2	2	3	3	3	3	4	2	2	2	2	1	3	3	3	2	4	3	3	3	2	3	3	3	2	3	3	2	3	2	4	4	3	4	3	3	3	4	3	3
ENSG00000083635	NUFIP1	4	3	2	2	2	2	1		2	2	2	2	2	2	1	3	2	2	2	3	2	0.8	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	3	4	2	2	3	2	2
ENSG00000083642	PDS5B	6	2	2	2	4	3	1	1	3	2	4	4	4	2	1	5	3	2	3	4	4	1	3	3	1	3	3	2	2	4	1	3	3	2	3	2	2	3	2	3	2	3	3	3	3	3	5	2	2	3	5	3	2
ENSG00000083720	OXCT1	23	26	6	13	27	12	25	1	10	15	27	23	24	10	6	9	13	10	14	10	28	38	15	13		11	5	10	19	7	1	10	9	12	11	6	8	5	12	13	8	10	7	5	9	12	10	10	6	9	10	9	14
ENSG00000083750	RRAGB	7	3	8	8	10	7	5	1	9	7	11	10	8	7	6	9	8	4	7	9	9	3	7	10	2	8	8	7	9	11	4	12	9	6	7	3	6	7	6	8	7	7	6	6	11	8	10	5	5	9	10	7	6
ENSG00000083799	CYLD	15	2	6	5	5	5	3	5	4	6	6	5	5	5	2	5	4	4	4	4	5	2	5	6	2	5	5	5	6	4	2	7	4	6	4	6	5	7	3	4	6	5	5	6	6	6	5	4	3	4	4	5	4
ENSG00000083807	SLC27A5	1	2	0.9	2	2	1	0.6		1	2	1	2	2	0.9	0.9	1	1	0.6	0.8	1	2		2	2	46	0.8	0.8	0.8	2	1	0.8	2	1	2	1		1	1	0.8	0.6	2	0.9	0.9	3	1	0.8	1	0.6	0.9	1	1	0.9	0.6
ENSG00000083812	ZNF324	3	3	2	2	3	3	1	1	2	2	4	5	4	2	2	2	3	3	3	4	3	0.9	2	2	2	3	2	2	2	3	2	5	3	2	3	0.9	1	2	2	2	1	3	2	4	3	2	3	2	2	3	3	2	2
ENSG00000083814	ZNF671	4	2	4	2	3	0.8	2	2	2	3	11	12	3	2	3	1	4	1	4	2	3	2	2	2	0.8	1	3	2	3	2	1	6	4	2	3	2	2	8	1	1	2	1	3	5	6	0.6	1	2	2	3	2	1	2
ENSG00000083817	ZNF416	2	1	2	1	1	1	1	0.6	2	1	3	3	2	1	1	2	2	2	2	2	1	1	1	1		3	1	2	1	2	0.6	2	1	1	2	1	0.7	2	1	2	0.8	3	1	3	2	1	2	2	1	2	2	2	1
ENSG00000083828	ZNF586	6	3	2	0.8	0.8	2	2	5	3	0.9	2	3	1	2	2	3	2	3	2	3	0.8	1	0.7	1	1	3	3	5	0.9	4	1	2	5	0.8	3	2	0.9	4	3	2	0.9	3	3	3	4	2	2	1	3	4	3	3	2
ENSG00000083838	ZNF446	2	2	3	2	2	3	1	1	3	2	5	6	3	3	3	4	4	2	4	5	3	1	2	2	2	4	2	3	3	6	2	7	5	2	4	1	2	3	3	3	2	4	3	7	5	3	4	2	3	4	5	3	2
ENSG00000083844	ZNF264	2	0.5	2	1	2	2	1	1	2	2	3	3	2	2	2	2	2	2	2	3	2	1	1	2	1	3	2	3	2	2	1	3	2	1	2	1	2	3	2	2	1	3	2	3	3	2	2	2	2	2	3	2	2
ENSG00000083845	RPS5	248	249	106	47	33	82	58	71	139	42	46	43	33	94	79	170	123	142	112	153	33	46	41	47	61	228	96	117	48	297	190	99	150	42	104	72	59	138	109	103	47	238	103	59	102	86	97	156	101	111	148	148	115
ENSG00000083857	FAT1		4		3	2	8	4		6	4	3	4	3	7	9	4	6	3	8	3	2	3	2	2	2	7	5	6	4	3	4	4	6	2	10		3	0.5	4	5	2	6	9	3	4	10	8	24	12	8	6	4	4
ENSG00000083896	YTHDC1	17	14	8	11	9	11	8	7	19	9	21	18	8	11	8	19	12	13	12	15	9	6	10	11	6	16	13	15	10	23	9	16	13	9	13	8	12	14	11	15	12	15	13	14	16	15	18	15	11	15	17	17	12
ENSG00000083937	CHMP2B	13	8	10	10	10	15	10	8	13	10	7	6	8	15	8	18	12	14	13	15	10	7	10	13	8	11	11	14	10	13	8	24	15	9	14	9	21	8	11	14	14	12	14	8	17	19	12	12	16	16	15	15	11
ENSG00000084070	SMAP2	71	74	10	24	36	11	7	286	14	22	23	22	34	12	7	11	9	10	8	15	35	5	23	22	15	18	35	17	25	6	7	25	13	21	12	5	18	125	17	19	18	16	30	12	10	15	15	7	15	17	10	11	20
ENSG00000084072	PPIE	7	11	4	3	3	5	3	2	5	3	4	4	3	4	4	5	5	4	4	6	3	2	3	3	3	5	4	4	3	6	4	5	5	3	5	3	4	6	4	4	3	5	4	9	5	4	6	4	5	6	5	5	3
ENSG00000084073	ZMPSTE24	9	15	14	8	9	21	9	7	12	9	6	5	6	14	8	11	13	11	13	16	9	7	8	9	10	9	10	13	10	9	6	7	11	8	12	6	8	7	11	12	9	9	10	6	11	12	12	21	13	13	19	11	12
ENSG00000084090	STARD7	49	43	34	31	32	14	24	9	20	28	33	28	30	17	26	19	20	20	20	20	32	41	28	29	17	21	29	26	29	17	16	21	22	27	19	45	23	31	23	19	27	22	26	15	33	13	19	28	26	22	20	19	21
ENSG00000084092	NOA1	15	14	6	3	4	6	4	4	7	3	5	5	4	6	4	7	5	7	6	6	4	4	3	3	2	9	5	8	4	7	10	4	6	3	7	7	3	6	8	7	3	8	6	5	6	6	5	9	8	9	7	7	6
ENSG00000084093	REST	6	7	3	2	0.8	3	3	2	4	1		0.5	1	3	3	4	3	4	3	4	0.9	2	1	1	2	3	3	5	1	4	2	0.8	4	1	4	2	2	4	3	4	2	4	4	6	5	4	5	7	3	4	4	4	4
ENSG00000084110	HAL								13																	50	14	1					2						3				11											
ENSG00000084112	SSH1	13	2	4	4	5	7	5	5	5	3	10	9	4	7	4	6	5	4	6	7	5	4	4	4	3	4	8	5	3	5	2	5	5	3	7	6	3	7	3	5	3	4	5	4	6	7	9	13	4	8	7	5	6
ENSG00000084207	GSTP1	147	305	85	42	36	136	64	42	85	38	34	34	32	113	100	150	109	523	94	111	32	52	37	58	7	176	132	120	43	105	63	103	93	40	84	42	45	99	96	68	53	185	93	21	172	74	85	94	92	144	112	272	71
ENSG00000084234	APLP2	3	53	41	43	62	128	48	58	61	48	104	80	44	77	66	50	55	32	59	57	61	36	40	47	40	41	95	53	50	58	19	30	52	40	47	12	35	32	41	66	38	39	52	19	109	91	47	69	57	70	63	47	69
ENSG00000084444	FAM234B	0.6	0.8	1	5	10	1	0.7		2	5	12	11	12	0.9	1	1	1	1	1	1	12	0.5	6	7	0.7	4	2	1	7	2	1	4	2	5	0.8	0.5	2	1	0.9	1	4	5	1	3	3	0.6	1	2	0.5	2	1	2	2
ENSG00000084453	SLCO1A2		0.7		15	5					9	2	2	5								5		14	18	0.7				9					13			21				23												
ENSG00000084463	WBP11	27	22	15	10	11	13	11	5	15	10	12	13	12	13	10	13	13	11	12	15	12	10	10	12	6	15	15	13	12	15	7	10	13	9	12	14	10	15	11	15	9	14	13	26	14	17	17	14	12	14	15	12	12
ENSG00000084623	EIF3I	136	218	86	36	42	60	44	36	72	39	39	36	41	63	54	73	66	73	64	73	43	41	38	42	42	72	65	72	39	85	49	58	70	35	63	70	35	60	66	66	39	69	56	44	68	55	59	120	61	66	72	69	70
ENSG00000084628	NKAIN1			3	3	2					2	17	17	4								3		3	5		0.9			2			1		3		3	2				4	0.8											
ENSG00000084636	COL16A1	0.7		5	12	9	36	9		23	14	5	6	8	21	4	56	29	7	17	18	7	2	13	12	0.6	21	12	9	13	66	2	15	46	13	23	2	25	4	13	12	22	23	13	22	24	24	27	34	12	41	42	41	9
ENSG00000084652	TXLNA	29	28	25	8	7	23	10	5	17	9	17	18	9	21	16	20	24	18	23	25	8	7	8	10	18	19	19	18	9	22	13	26	26	8	22	8	8	22	17	15	9	21	20	31	24	19	23	32	18	19	29	18	19
ENSG00000084674	APOB						1	2															1			192																		40			0.8							
ENSG00000084676	NCOA1	9	6	9	12	13	7	6	9	11	13	15	14	13	8	5	11	9	8	9	11	13	5	12	10	3	9	9	8	14	13	4	12	8	11	8	11	8	7	7	10	8	9	7	13	6	10	14	5	6	10	10	10	9
ENSG00000084693	AGBL5	6	12	7	4	4	4	2	2	5	4	5	5	5	5	6	6	8	4	9	7	4	2	4	5	2	5	4	7	4	7	3	8	7	3	8	2	3	4	5	4	4	5	4	120	8	5	5	6	4	8	7	5	4
ENSG00000084710	EFR3B	0.7		0.7	7	10		1			13	14	14	11								9	0.7	9	8			0.9		11	0.5		5		15			5	2			7			2	2		3				0.5		
ENSG00000084731	KIF3C		3	2	25	52	3	1	2	2	21	34	30	49	2	0.9	2	3	1	3	2	44	0.5	24	22		1	1	2	25	3	0.5	10	2	20	3		6	1	0.7	2	17	1	1	2	2	2	9	3	1	2	2	2	2
ENSG00000084733	RAB10	33	56	34	30	30	29	20	24	26	27	23	19	22	28	20	30	25	126	27	26	29	17	28	31	12	38	24	32	28	20	12	17	24	24	28	47	38	24	24	26	30	37	24	17	28	29	32	36	29	33	27	50	26
ENSG00000084734	GCKR			7			0.6			0.5		0.9	1	0.6	0.6				1			0.5				67			0.5		5	0.5		0.6					1	4	0.5				4									0.6
ENSG00000084754	HADHA	70	112	78	29	22	37	75	39	55	30	28	29	24	39	52	44	57	44	59	36	26	120	26	31	48	56	47	46	30	47	33	40	37	30	48	143	38	44	50	62	34	53	61	41	42	42	45	45	67	53	40	45	58
ENSG00000084764	MAPRE3	0.9	16	8	35	54	7	11	3	13	37	51	54	54	8	11	11	12	5	12	12	53	10	40	45	10	19	8	9	44	21	4	57	15	33	10	25	16	9	11	11	25	16	5	24	14	6	10	3	11	12	14	9	9
ENSG00000084774	CAD	14	20	5	3	3	5	3	2	7	3	6	7	4	5	4	8	5	6	5	10	3	2	3	3	5	6	6	5	4	10	5	10	7	3	6	2	3	9	5	5	3	7	7	12	8	4	9	10	6	5	10	7	4
ENSG00000085063	CD59	22	27	51	42	43	81	67	17	98	51	31	33	42	85	72	59	71	69	68	66	41	80	36	50	22	66	118	142	49	39	27	60	50	43	45	51	32	32	57	103	45	57	38	25	80	69	126	109	36	58	59	68	92
ENSG00000085117	CD82	80	3	3	7	3	10	3	35	11	7	2	4	4	9	5	8	6	37	7	9	3	5	6	8	7	26	28	20	7	5	5	3	10	8	6	3	4	17	11	5	8	27	16	2	4	19	11	14	5	9	3	22	7
ENSG00000085185	BCORL1	1	7	3	1	1	3	2	2	3	1	3	3	2	3	2	4	3	2	3	4	1	1	1	1	0.8	2	2	2	1	3	1	3	3	1	3	0.9	0.9	3	2	3	1	2	2	6	4	3	4	2	2	3	4	3	3
ENSG00000085224	ATRX	11	3	6	5	6	7	4	2	7	4	9	10	5	6	3	7	6	4	6	7	6	4	4	5	2	5	6	6	5	8	4	6	5	4	6	5	4	5	5	7	4	5	5	2	6	8	6	6	4	7	7	5	5
ENSG00000085231	AK6	9	15	7	5	6	4	4	0.6	5	5	6	5	5	4	5	4	5	3	4	5	6	4	5	5	3	3	4	4	5	4	3	5	5	5	5	5	4	4	4	5	5	3	4	10	5	5	5	7	4	4	4	3	6
ENSG00000085265	FCN1						0.5	0.5	127	0.9					0.7											0.8		8	0.5										19		1			0.5										2
ENSG00000085274	MYNN	4	4	2	2	2	3	2	1	4	2	3	3	2	3	2	3	3	3	3	4	2	2	2	2	2	2	3	3	2	4	2	2	3	2	3	2	2	3	3	3	2	3	3	4	3	3	3	4	2	3	4	3	3
ENSG00000085276	MECOM		3		0.9	1	5	3		4	1		0.5	1	2	7	2	4	4	2	3	1	2	1	1		0.9	6	3	0.9	0.7	5	0.6	2	1	1	0.8	1	2	20	5	2	0.8	3	1	2	1	3		6	9	2	2	4
ENSG00000085365	SCAMP1	4	7	5	11	17	7	5	2	8	12	15	10	9	7	3	7	5	6	6	7	17	3	11	13	2	5	5	9	14	6	4	11	6	10	6	4	7	2	6	7	9	5	4	4	7	8	6	6	5	9	7	7	6
ENSG00000085377	PREP	13	22	10	4	7	7	7	5	10	4	6	7	11	8	5	10	8	9	9	8	10	7	4	4	6	16	11	10	4	9	6	7	7	3	10	22	4	9	9	10	4	17	15	15	8	8	10	16	20	14	9	10	8
ENSG00000085382	HACE1	2	3	1	3	4	2	1		3	3	5	6	3	2	1	3	2	2	2	2	5	0.8	2	3		2	2	2	3	2	0.7	2	2	3	2	0.7	3	1	1	2	3	2	1	3	2	2	3	2	1	2	3	3	2
ENSG00000085415	SEH1L	6	12	2	3	4	2	2	0.7	3	3	4	4	3	3	2	4	2	3	2	3	5	1	3	3	2	3	3	3	3	3	2	3	3	2	2	3	2	3	2	3	2	4	3	3	3	3	4	5	3	3	3	3	3
ENSG00000085433	WDR47	4	5	3	13	24	6	3	2	5	15	21	12	15	6	3	7	5	8	6	6	30	3	15	16	1	13	5	5	17	5	2	4	3	13	6	5	8	3	4	6	10	12	3	13	4	7	7	5	3	6	5	6	4
ENSG00000085449	WDFY1	30	12	7	5	6	11	5	3	10	5	8	7	5	9	4	11	6	6	6	11	6	3	5	6	4	8	11	9	4	10	4	6	8	4	6	4	6	7	6	11	6	8	7	5	9	10	10	16	8	10	11	9	9
ENSG00000085465	OVGP1	0.8		0.8	2	4	1	1	0.8	3	3	7	8	5	2	3	3	3	2	2	12	4	0.6	2	3	2	6	2	3	4	4	0.6	2	4	3	2	1	2	3	2	3	2	5	3	9	2	2	3	1	2	4	3	3	1
ENSG00000085491	SLC25A24	0.8	9	4	0.8	0.9	4	2	2	6	0.7	0.7	0.8	0.8	5	2	6	3	4	3	4	0.8	2	0.7	1		2	6	5	0.8	4	2	2	2	0.6	4	1	1	4	3	6	0.8	2	6	2	4	5	4	9	8	5	4	5	5
ENSG00000085511	MAP3K4	10	13	3	3	4	4	4	1	6	3	9	9	5	5	3	9	5	7	4	8	4	3	3	4	2	7	5	5	3	8	4	7	8	3	6	4	3	5	4	5	3	7	6	9	6	5	9	6	4	6	9	8	4
ENSG00000085514	PILRA	5	0.5	3	2	2	3	2	57	3	3	11	11	3	4	4	2	4	1	2	5	3	0.9	2	3	2	2	9	3	3	4	1	4	4	2	3	1	5	13	2	4	3	2	3	6	3	3	6	0.6	3	5	3	3	6
ENSG00000085552	IGSF9									2									5		1					10	8		4			0.7	0.5	4					0.5	3			10	3	6	1				8	1		4	
ENSG00000085563	ABCB1	0.5		81	5	5	0.5		0.5	3	7	2	2	3	0.7	4	2	1	0.9	1	4	5	0.9	7	6	5		1	0.8	5	1			2	7	1		8	2	0.8	0.9	8	0.5	10	1	2		4		4	1	5	2	2
ENSG00000085644	ZNF213	2	3	3	3	3	3	2	3	3	3	5	4	4	3	2	3	3	3	3	4	4	2	3	3	0.9	4	2	3	3	4	2	4	3	3	3	3	3	3	3	2	2	3	4	15	3	3	3	3	3	3	4	3	2
ENSG00000085662	AKR1B1	21	1	902	16	19	17	30	8	17	21	24	26	20	16	24	17	16	7	15	15	19	33	17	20	2	10	21	14	23	22	7	30	13	19	14	39	19	24	15	20	20	9	19	22	17	11	53	36	12	26	17	15	18
ENSG00000085719	CPNE3	17	11	11	7	5	13	9	6	13	6	7	7	4	12	7	14	9	23	9	11	4	8	5	7	5	11	10	15	7	11	7	8	11	5	9	4	5	7	9	13	6	12	8	3	15	14	14	14	9	14	12	15	11
ENSG00000085721	RRN3	15	11	9	6	7	8	7	1	13	7	12	11	7	9	6	10	10	6	9	12	7	6	5	7	8	9	9	9	7	12	5	10	9	5	9	13	5	10	8	14	5	9	9	11	10	10	12	12	9	11	11	9	12
ENSG00000085733	CTTN	5	27	52	17	18	51	19	1	41	18	29	32	22	39	40	52	38	43	35	40	20	22	17	20	13	43	33	42	18	56	20	47	50	17	36	13	25	24	34	38	22	42	34	35	43	39	43	55	36	42	60	46	30
ENSG00000085741	WNT11	0.6		9			2	2		9	0.5	0.5	1		2		2	1		2	4		2			1	4	2	2	0.8	2	3	0.7	2		1	2		2		13		4	1	0.8	8	4	3		2	2	2	1	13
ENSG00000085760	MTIF2	18	33	10	6	7	5	8	2	8	6	5	5	6	6	8	6	6	8	7	6	7	10	6	7	8	6	7	9	6	5	8	6	8	6	8	10	7	9	10	8	7	6	9	7	9	6	7	12	11	9	6	7	8
ENSG00000085788	DDHD2	7	8	4	8	10	5	4	0.8	6	8	12	10	9	5	3	7	5	3	6	6	11	3	8	9	1	4	4	5	9	7	3	6	5	8	5	2	11	4	4	8	9	4	5	5	5	6	8	4	4	6	6	5	5
ENSG00000085831	TTC39A			2		0.6		1		1	0.5			0.7		5	0.5		3			0.6	1		2		1	2	1	0.7		1	2	3	0.5					2		0.5	1	0.9	13	1				4	2		2	
ENSG00000085832	EPS15	24	20	15	20	23	12	9	6	12	14	14	12	19	12	6	12	9	7	8	11	26	6	20	15	4	12	12	9	14	11	4	8	10	13	9	10	19	11	7	14	17	11	8	15	11	14	15	9	7	10	12	11	13
ENSG00000085840	ORC1	10	46	0.5					0.5			0.5	0.7						2		0.5						0.8	0.5											1				0.7	1	5					1			0.6	
ENSG00000085871	MGST2	3	7	14	2	3	6	9	3	9	2	3	3	2	7	7	6	5	23	5	8	3	9	2	4	18	11	7	12	2	4	5	9	10	2	5	3	4	11	8	7	4	11	9	10	8	4	5	2	12	10	6	11	8
ENSG00000085872	CHERP	10	16	7	4	5	7	4	2	8	4	9	10	7	6	6	9	8	7	8	9	5	4	5	4	5	7	6	7	5	11	5	9	9	4	8	6	3	9	7	6	3	7	8	13	9	7	8	7	8	9	9	8	6
ENSG00000085978	ATG16L1	5	4	4	3	5	6	3	3	7	4	14	14	7	6	5	6	7	5	7	6	7	3	4	4	4	9	6	8	5	6	3	5	9	4	9	5	4	8	6	5	4	8	8	9	10	6	6	6	7	8	8	6	5
ENSG00000085982	USP40	4	3	9	4	3	4	3	0.7	6	4	3	4	4	5	6	6	6	6	6	6	3	3	4	4	5	6	6	6	4	8	5	9	9	4	6	3	6	6	7	5	5	7	6	9	11	5	7	8	5	9	6	6	5
ENSG00000085998	POMGNT1	5	10	16	10	12	13	14	2	11	12	11	14	15	12	15	12	12	7	10	12	12	19	11	12	10	9	10	11	13	12	8	25	20	12	11	13	17	12	12	9	13	10	10	21	21	9	17	11	9	12	14	11	8
ENSG00000085999	RAD54L	10	22			0.5					1	1	2	0.9		0.5			2			0.7			0.6					1				0.5	1			1	1			0.7	0.6	0.9	9	0.9		0.5		1			0.9	
ENSG00000086015	MAST2	5	10	6	6	8	16	18	2	11	5	9	9	9	13	6	19	29	7	26	16	7	20	6	9	5	8	9	10	5	28	3	17	21	4	19	49	6	4	6	9	7	8	13	40	8	13	17	10	22	25	27	15	6
ENSG00000086061	DNAJA1	80	58	64	54	81	32	32	29	32	53	49	37	66	34	35	36	31	25	32	57	79	22	56	72	55	20	49	38	59	45	19	59	47	45	32	15	53	37	31	30	60	29	29	91	40	26	36	55	30	29	42	36	56
ENSG00000086062	B4GALT1	39	11	21	1	1	24	25	22	28	2	5	6	1	22	18	28	10	25	11	30	1	12	2	2	30	22	31	34	1	39	12	12	26	1	12	11	3	26	24	27	3	22	17	28	36	28	21	45	17	23	20	27	29
ENSG00000086065	CHMP5	50	24	24	26	31	22	14	7	21	25	25	21	22	21	22	23	16	25	18	21	29	12	25	28	12	18	23	24	27	19	9	24	22	23	18	9	24	20	18	21	25	18	19	22	22	20	23	27	21	22	21	23	22
ENSG00000086102	NFX1	16	9	7	5	6	7	5	3	9	5	12	12	6	7	6	9	8	8	8	9	6	5	5	5	7	11	9	9	5	9	5	8	9	5	8	9	5	8	7	9	5	11	9	9	10	9	10	8	8	10	8	9	7
ENSG00000086159	AQP6										0.6					11								0.6	0.5					0.6					0.8			0.5				0.7			2									
ENSG00000086189	DIMT1	13	22	6	8	8	7	6	2	10	8	6	7	8	9	4	11	7	8	8	10	8	4	8	9	3	6	7	9	8	8	5	8	9	7	7	4	9	7	5	9	8	6	6	7	8	9	10	11	5	10	8	9	8
ENSG00000086200	IPO11	4	12	2	1	2	2	2	0.8	4	2	1	2	2	2	2	3	2	2	2	3	2	2	2	2	1	2	2	3	2	3	1	1	2	1	2	2	2	3	2	4	2	2	2	8	3	2	3	3	2	3	3	3	3
ENSG00000086205	FOLH1				6	2				0.7	4	0.8	0.8	3		1					0.5	2		6	7	2			2	3				24	5			19	1			14						2						
ENSG00000086232	EIF2AK1	26	58	24	15	17	11	11	25	16	14	14	13	16	11	14	16	10	15	10	14	18	9	14	16	15	19	16	20	14	14	12	18	16	14	12	10	16	15	18	14	15	18	14	12	17	11	14	20	17	15	14	14	13
ENSG00000086288	NME8	0.5							4																			0.5										0.6	2						6									
ENSG00000086289	EPDR1	3		29	16	32	25	6		6	8	45	30	21	20	7	20	5	0.9	6	16	34	10	17	34	4	2	15	6	7	14	4	4	11	7	5	16	12	10	2	12	17	2	6	7	14	20	15	7	5	5	21	12	10
ENSG00000086300	SNX10	15	10	6	14	30	0.6	0.5	10	3	7	9	7	15	1	11	0.6			0.5	0.9	32		16	23	7		7	0.7	7		2	3	0.8	6	0.7		9	6	0.5	8	16		2	1	0.5		1		0.7	0.6	2	0.6	4
ENSG00000086475	SEPHS1	12	13	12	10	8	9	7	2	12	9	13	10	8	9	10	9	10	8	10	10	8	6	9	9	11	8	9	11	9	12	7	14	10	8	10	7	9	9	10	10	9	8	10	10	16	9	9	11	10	10	11	9	10
ENSG00000086504	MRPL28	24	34	19	16	20	12	15	15	13	17	14	14	21	13	21	14	16	15	15	14	18	16	18	14	13	14	13	14	19	13	7	18	17	18	14	11	10	21	13	12	14	14	15	36	16	10	15	17	14	13	16	14	12
ENSG00000086506	HBQ1		24		2	3			41		2		0.6	2								2		2	1					3					1				0.8			0.7			2									
